# Weather station Philadelphia (airport), USA, WMO_ID=72408,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72408&lang=en
#
"Local time in Philadelfia (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.05.2019 19:00";"25.6";"755.0";"756.7";"";"45";"Wind blowing from the north-northwest";"3";"";"";"70 – 80%.";" ";"";"";"21.7";"28.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"12.8";"";"";"";"";"";"";
"31.05.2019 13:00";"26.7";"755.2";"756.8";"";"45";"";"2";"";"";"50%.";" ";"";"";"21.7";"27.2";"";"";"1500-2000";"";"";"16.0";"13.9";"";"";"";"";"";"";
"31.05.2019 07:00";"21.7";"755.2";"756.7";"";"68";"Wind blowing from the west-northwest";"5";"";"";"20–30%.";" ";"";"";"19.4";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"15.6";"";"";"";"";"";"";
"31.05.2019 01:00";"21.1";"752.8";"754.3";"";"90";"Wind blowing from the west-southwest";"4";"";"";"70 – 80%.";" ";"";"";"20.6";"22.8";"";"";"2500 or more, or no clouds.";"";"";"16.0";"19.4";"Trace of precipitation";"6";"";"";"";"";
"30.05.2019 19:00";"22.2";"752.5";"754.0";"";"91";"Wind blowing from the west-southwest";"4";"";"";"100%.";" ";"";"";"20.6";"28.9";"";"";"300-600";"";"";"16.0";"20.6";"2.0";"6";"";"";"";"";
"30.05.2019 13:00";"28.3";"753.5";"755.2";"";"57";"Wind blowing from the south-southwest";"4";"";"";"70 – 80%.";" ";"";"";"21.1";"28.9";"";"";"1000-1500";"";"";"16.0";"18.9";"";"";"";"";"";"";
"30.05.2019 07:00";"22.8";"755.2";"756.8";"";"76";"Wind blowing from the west-northwest";"3";"";"";"50%.";" ";"";"";"20.6";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"18.3";"Trace of precipitation";"6";"";"";"";"";
"30.05.2019 01:00";"20.6";"753.7";"755.3";"";"93";"Wind blowing from the west-southwest";"4";"";"";"70 – 80%.";" ";"";"";"20.6";"22.8";"";"";"2500 or more, or no clouds.";"";"";"16.0";"19.4";"0.3";"6";"";"";"";"";
"29.05.2019 19:00";"21.1";"753.2";"754.9";"";"87";"Wind blowing from the south-east";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"21.1";"32.2";"";"";"300-600";"";"";"16.0";"18.9";"5.0";"6";"";"";"";"";
"29.05.2019 13:00";"31.1";"752.5";"754.0";"";"50";"Wind blowing from the south-southwest";"4";"";"";"70 – 80%.";" ";"";"";"22.8";"31.1";"";"";"1000-1500";"";"";"16.0";"19.4";"";"";"";"";"";"";
"29.05.2019 07:00";"22.8";"753.5";"755.1";"";"74";"Wind blowing from the west-southwest";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"17.8";"";"";"";"";"";"";
"29.05.2019 01:00";"22.8";"753.5";"754.9";"";"71";"Wind blowing from the west";"5";"";"";"100%.";" ";"";"";"17.2";"23.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"17.2";"0.3";"6";"";"";"";"";
"28.05.2019 19:00";"23.3";"752.8";"754.3";"";"82";"Wind blowing from the south-west";"3";"";"";"100%.";" ";"";"";"17.2";"28.3";"";"";"300-600";"";"";"16.0";"20.0";"7.0";"6";"";"";"";"";
"28.05.2019 13:00";"25.6";"754.0";"755.6";"";"69";"Wind blowing from the south";"7";"";"";"70 – 80%.";" ";"";"";"19.4";"25.6";"";"";"600-1000";"";"";"16.0";"19.4";"2.0";"6";"";"";"";"";
"28.05.2019 07:00";"19.4";"757.3";"758.8";"";"84";"Wind blowing from the south-southeast";"2";"";"";"100%.";" ";"";"";"17.2";"28.3";"";"";"1000-1500";"";"";"16.0";"16.7";"";"";"";"";"";"";
"28.05.2019 01:00";"18.9";"757.8";"759.4";"";"73";"Wind blowing from the south-southwest";"2";"";"";"100%.";" ";"";"";"18.3";"26.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"13.9";"";"";"";"";"";"";
"27.05.2019 19:00";"26.7";"757.8";"759.4";"";"35";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"20.0";"28.3";"";"";"1500-2000";"";"";"16.0";"10.0";"";"";"";"";"";"";
"27.05.2019 13:00";"27.2";"758.5";"760.1";"";"35";"Wind blowing from the west-northwest";"5";"10";"";"20–30%.";" ";"";"";"21.1";"27.2";"";"";"1500-2000";"";"";"16.0";"10.6";"";"";"";"";"";"";
"27.05.2019 07:00";"21.1";"759.3";"760.9";"";"59";"Wind blowing from the north";"6";"";"";"50%.";" ";"";"";"20.0";"31.1";"";"";"2000-2500";"";"";"16.0";"12.8";"";"";"";"";"";"";
"27.05.2019 01:00";"22.8";"757.6";"759.1";"";"69";"Wind blowing from the west-northwest";"2";"";"";"100%.";" ";"";"";"17.2";"25.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"16.7";"";"";"";"";"";"";
"26.05.2019 19:00";"25.0";"757.8";"759.3";"";"71";"Wind blowing from the west-northwest";"3";"";"";"70 – 80%.";" ";"";"";"17.2";"31.1";"";"";"1500-2000";"";"";"16.0";"19.4";"0.3";"6";"";"";"";"";
"26.05.2019 13:00";"30.0";"758.5";"760.1";"";"42";"Wind blowing from the south-southwest";"4";"";"";"70 – 80%.";" ";"";"";"20.0";"30.0";"";"";"1500-2000";"";"";"16.0";"15.6";"";"";"";"";"";"";
"26.05.2019 07:00";"20.0";"760.1";"761.7";"";"90";"Wind blowing from the south-west";"4";"";"";"100%.";" ";"";"";"17.2";"23.3";"";"";"200-300";"";"";"14.0";"18.3";"";"";"";"";"";"";
"26.05.2019 01:00";"17.2";"760.3";"761.9";"";"93";"Wind blowing from the south";"3";"";"";"100%.";" ";"";"";"13.9";"20.0";"";"";"300-600";"";"";"16.0";"16.1";"4.0";"6";"";"";"";"";
"25.05.2019 19:00";"20.0";"762.9";"764.4";"";"57";"Wind blowing from the south";"5";"";"";"70 – 80%.";" ";"";"";"13.9";"23.3";"";"";"1000-1500";"";"";"16.0";"11.1";"";"";"";"";"";"";
"25.05.2019 13:00";"22.2";"764.9";"766.6";"";"50";"Wind blowing from the south-southwest";"6";"";"";"100%.";" ";"";"";"16.1";"22.8";"";"";"1000-1500";"";"";"16.0";"11.1";"";"";"";"";"";"";
"25.05.2019 07:00";"16.1";"766.4";"767.9";"";"70";"Wind blowing from the south";"3";"";"";"70 – 80%.";" ";"";"";"13.9";"27.8";"";"";"2000-2500";"";"";"16.0";"10.6";"";"";"";"";"";"";
"25.05.2019 01:00";"17.2";"764.2";"765.6";"";"58";"Wind blowing from the north-east";"5";"";"";"20–30%.";" ";"";"";"17.2";"25.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"8.9";"";"";"";"";"";"";
"24.05.2019 19:00";"25.6";"761.4";"763.0";"";"36";"Wind blowing from the north";"5";"";"";"100%.";" ";"";"";"18.9";"27.8";"";"";"2000-2500";"";"";"16.0";"9.4";"";"";"";"";"";"";
"24.05.2019 13:00";"25.6";"759.6";"761.2";"";"36";"Wind blowing from the north-northwest";"8";"12";"";"50%.";" ";"";"";"20.0";"25.6";"";"";"2000-2500";"";"";"16.0";"9.4";"";"";"";"";"";"";
"24.05.2019 07:00";"20.6";"758.8";"760.5";"";"59";"Wind blowing from the west-northwest";"3";"";"";"50%.";" ";"";"";"18.9";"24.4";"";"";"1500-2000";"";"";"16.0";"12.2";"1.0";"6";"";"";"";"";
"24.05.2019 01:00";"20.6";"757.3";"758.8";"";"90";"Wind blowing from the west-southwest";"9";"13";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"";"";"16.1";"23.9";"";"";"1500-2000";"";"";"11.0";"18.9";"2.0";"6";"";"";"";"";
"23.05.2019 19:00";"23.9";"758.1";"759.7";"";"79";"Wind blowing from the south-southwest";"7";"";"";"70 – 80%.";" ";"";"";"16.1";"24.4";"";"";"2500 or more, or no clouds.";"";"";"16.0";"20.0";"5.0";"6";"";"";"";"";
"23.05.2019 13:00";"20.6";"762.4";"763.9";"";"73";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"16.7";"21.7";"";"";"1500-2000";"";"";"16.0";"15.6";"6.0";"6";"";"";"";"";
"23.05.2019 07:00";"17.2";"765.9";"767.6";"";"48";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"";"16.1";"23.9";"";"";"1000-1500";"";"";"16.0";"6.1";"";"";"";"";"";"";
"23.05.2019 01:00";"17.2";"766.2";"767.7";"";"56";"Wind blowing from the south-southwest";"3";"";"";"50%.";" ";"";"";"12.2";"21.7";"";"";"2000-2500";"";"";"16.0";"8.3";"";"";"";"";"";"";
"22.05.2019 19:00";"21.7";"765.4";"767.0";"";"34";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"12.2";"23.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"5.0";"";"";"";"";"";"";
"22.05.2019 13:00";"22.2";"766.7";"768.2";"";"28";"Wind blowing from the south";"4";"";"";"50%.";" ";"";"";"16.1";"22.8";"";"";"2500 or more, or no clouds.";"";"";"16.0";"2.8";"";"";"";"";"";"";
"22.05.2019 07:00";"16.1";"766.7";"768.2";"";"44";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"12.2";"23.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"3.9";"";"";"";"";"";"";
"22.05.2019 01:00";"15.0";"764.4";"766.0";"";"44";"Wind blowing from the north";"3";"";"";"20–30%.";" ";"";"";"15.0";"21.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"2.8";"";"";"";"";"";"";
"21.05.2019 19:00";"21.7";"760.9";"762.4";"";"32";"Wind blowing from the north-west";"5";"";"";"70 – 80%.";" ";"";"";"16.1";"22.2";"";"";"2500 or more, or no clouds.";"";"";"16.0";"4.4";"";"";"";"";"";"";
"21.05.2019 13:00";"20.0";"760.3";"761.8";"";"33";"Wind blowing from the north-west";"7";"10";"";"70 – 80%.";" ";"";"";"16.1";"21.1";"";"";"2500 or more, or no clouds.";"";"";"16.0";"3.3";"";"";"";"";"";"";
"21.05.2019 07:00";"16.1";"759.6";"761.1";"";"50";"Wind blowing from the north-northwest";"6";"10";"";"70 – 80%.";" ";"";"";"16.1";"31.7";"";"";"1000-1500";"";"";"16.0";"5.6";"";"";"";"";"";"";
"21.05.2019 01:00";"21.1";"756.3";"758.0";"";"53";"Wind blowing from the north-northwest";"7";"";"";"20–30%.";" ";"";"";"21.1";"29.4";"";"";"2000-2500";"";"";"16.0";"11.1";"";"";"";"";"";"";
"20.05.2019 19:00";"28.3";"753.7";"755.3";"";"51";"Wind blowing from the west-southwest";"5";"";"";"50%.";" ";"";"";"21.7";"31.7";"";"";"1500-2000";"";"";"16.0";"17.2";"";"";"";"";"";"";
"20.05.2019 13:00";"30.6";"755.2";"756.7";"";"43";"Wind blowing from the west-southwest";"7";"";"";"70 – 80%.";" ";"";"";"23.9";"31.7";"";"";"1500-2000";"";"";"16.0";"16.7";"";"";"";"";"";"";
"20.05.2019 07:00";"23.9";"757.3";"758.8";"";"69";"Wind blowing from the south-west";"5";"";"";"50%.";" ";"";"";"21.7";"29.4";"";"";"2500 or more, or no clouds.";"";"";"16.0";"17.8";"";"";"";"";"";"";
"20.05.2019 01:00";"22.2";"757.6";"759.1";"";"76";"Wind blowing from the south";"4";"";"";"100%.";" ";"";"";"15.6";"25.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"17.8";"";"";"";"";"";"";
"19.05.2019 19:00";"25.6";"757.8";"759.4";"";"71";"Wind blowing from the south-southeast";"5";"";"";"70 – 80%.";" ";"";"";"15.6";"29.4";"";"";"600-1000";"";"";"16.0";"20.0";"";"";"";"";"";"";
"19.05.2019 13:00";"28.9";"760.1";"761.8";"";"59";"Wind blowing from the south";"6";"";"";"50%.";" ";"";"";"17.8";"28.9";"";"";"600-1000";"";"";"16.0";"20.0";"";"";"";"";"";"";
"19.05.2019 07:00";"17.8";"762.1";"763.8";"";"75";"Wind blowing from the east-northeast";"2";"";"";"70 – 80%.";" ";"";"";"15.6";"25.6";"";"";"1000-1500";"";"";"16.0";"13.3";"";"";"";"";"";"";
"19.05.2019 01:00";"15.6";"761.8";"763.4";"";"78";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"15.6";"22.8";"";"";"2500 or more, or no clouds.";"";"";"16.0";"11.7";"";"";"";"";"";"";
"18.05.2019 19:00";"23.3";"760.3";"761.8";"";"57";"Wind blowing from the south";"4";"";"";"50%.";" ";"";"";"17.2";"25.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"14.4";"";"";"";"";"";"";
"18.05.2019 13:00";"23.3";"760.6";"762.1";"";"40";"Wind blowing from the south";"4";"";"";"50%.";" ";"";"";"17.8";"23.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"8.9";"";"";"";"";"";"";
"18.05.2019 07:00";"17.8";"759.8";"761.5";"";"56";"Wind blowing from the north-northeast";"5";"";"";"70 – 80%.";" ";"";"";"17.2";"27.8";"";"";"1000-1500";"";"";"16.0";"8.9";"";"";"";"";"";"";
"18.05.2019 01:00";"19.4";"756.8";"758.5";"";"84";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"14.4";"22.2";"";"";"2500 or more, or no clouds.";"";"";"14.0";"16.7";"";"";"";"";"";"";
"17.05.2019 19:00";"21.7";"754.5";"756.1";"";"81";"Wind blowing from the south-southeast";"2";"";"";"70 – 80%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"14.4";"27.8";"";"";"1500-2000";"";"";"16.0";"18.3";"2.0";"6";"";"";"";"";
"17.05.2019 13:00";"26.1";"754.3";"755.8";"";"42";"Wind blowing from the south-southwest";"5";"";"";"70 – 80%.";" ";"";"";"17.2";"26.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"12.2";"";"";"";"";"";"";
"17.05.2019 07:00";"17.2";"756.3";"757.9";"";"73";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"14.4";"23.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"12.2";"";"";"";"";"";"";
"17.05.2019 01:00";"16.7";"757.0";"758.8";"";"73";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"14.4";"22.2";"";"";"2500 or more, or no clouds.";"";"";"16.0";"11.7";"";"";"";"";"";"";
"16.05.2019 19:00";"21.7";"756.8";"758.5";"";"38";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"14.4";"23.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"6.7";"";"";"";"";"";"";
"16.05.2019 13:00";"21.7";"757.0";"758.6";"";"38";"";"2";"";"";"50%.";" ";"";"";"15.0";"22.8";"";"";"1500-2000";"";"";"16.0";"6.7";"";"";"";"";"";"";
"16.05.2019 07:00";"15.0";"758.3";"759.8";"";"67";"Wind blowing from the west";"4";"";"";"100%.";" ";"";"";"14.4";"23.3";"";"";"1500-2000";"";"";"16.0";"8.9";"Trace of precipitation";"6";"";"";"";"";
"16.05.2019 01:00";"16.7";"756.5";"758.2";"";"56";"Wind blowing from the south-west";"4";"";"";"100%.";" ";"";"";"7.8";"21.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"7.8";"";"";"";"";"";"";
"15.05.2019 19:00";"21.7";"756.3";"757.9";"";"32";"Wind blowing from the west-northwest";"4";"";"";"70 – 80%.";" ";"";"";"7.8";"23.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"4.4";"Trace of precipitation";"6";"";"";"";"";
"15.05.2019 13:00";"20.6";"756.8";"758.4";"";"35";"Wind blowing from the west-northwest";"5";"9";"";"20–30%.";" ";"";"";"10.0";"21.1";"";"";"1500-2000";"";"";"16.0";"4.4";"";"";"";"";"";"";
"15.05.2019 07:00";"10.0";"758.5";"760.2";"";"71";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"7.8";"14.4";"";"";"";"";"";"16.0";"5.0";"";"";"";"";"";"";
"15.05.2019 01:00";"8.9";"757.8";"759.4";"";"71";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"8.3";"11.7";"";"";"";"";"";"16.0";"3.9";"";"";"";"";"";"";
"14.05.2019 19:00";"11.7";"756.8";"758.4";"";"72";"Wind blowing from the north-west";"5";"";"";"100%.";" ";"";"";"8.3";"14.4";"";"";"1500-2000";"";"";"16.0";"6.7";"Trace of precipitation";"6";"";"";"";"";
"14.05.2019 13:00";"12.8";"755.8";"757.5";"";"59";"Wind blowing from the west";"5";"";"";"100%.";" ";"";"";"9.4";"12.8";"";"";"600-1000";"";"";"16.0";"5.0";"Trace of precipitation";"6";"";"";"";"";
"14.05.2019 07:00";"9.4";"756.3";"757.9";"";"86";"Wind blowing from the south-southwest";"3";"";"";"100%.";" ";"";"";"8.3";"11.7";"";"";"200-300";"";"";"16.0";"7.2";"0.3";"6";"";"";"";"";
"14.05.2019 01:00";"9.4";"756.1";"757.6";"";"83";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"";"7.8";"9.4";"";"";"600-1000";"";"";"16.0";"6.7";"";"";"";"";"";"";
"13.05.2019 19:00";"9.4";"755.8";"757.4";"";"86";"Wind blowing from the east-northeast";"4";"";"";"100%.";" ";"";"";"7.8";"11.7";"";"";"200-300";"";"";"16.0";"7.2";"10.0";"6";"";"";"";"";
"13.05.2019 13:00";"10.6";"754.8";"756.4";"";"89";"Wind blowing from the east-northeast";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"7.8";"11.7";"";"";"300-600";"";"";"16.0";"8.9";"10.0";"6";"";"";"";"";
"13.05.2019 07:00";"7.8";"756.5";"758.1";"";"93";"Wind blowing from the east-northeast";"5";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"7.8";"";"";"";"200-300";"";"";"8.0";"6.7";"4.0";"6";"";"";"";"";
"13.05.2019 01:00";"7.8";"756.5";"758.2";"";"93";"Wind blowing from the north-east";"6";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"";"";"7.8";"12.2";"";"";"200-300";"";"";"4.8";"6.7";"Trace of precipitation";"6";"";"";"";"";
"12.05.2019 19:00";"8.3";"756.3";"757.9";"";"90";"Wind blowing from the east-northeast";"6";"10";"";"100%.";" ";"";"";"8.3";"11.7";"";"";"300-600";"";"";"16.0";"6.7";"5.0";"6";"";"";"";"";
"12.05.2019 13:00";"10.0";"755.5";"757.0";"";"93";"Wind blowing from the east-northeast";"6";"11";"";"100%.";"Rain, not freezing, continuous, heavy at time of observation. ";"";"";"10.0";"12.2";"";"";"200-300";"";"";"4.0";"8.9";"9.0";"6";"";"";"";"";
"12.05.2019 07:00";"11.1";"757.0";"758.8";"";"93";"Wind blowing from the east-northeast";"8";"10";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"11.1";"21.1";"";"";"200-300";"";"";"12.0";"10.0";"11.0";"6";"";"";"";"";
"12.05.2019 01:00";"11.7";"758.8";"760.4";"";"93";"Wind blowing from the north-east";"3";"";"";"100%.";" ";"";"";"11.7";"20.0";"";"";"1000-1500";"";"";"16.0";"10.6";"5.0";"6";"";"";"";"";
"11.05.2019 19:00";"19.4";"759.6";"761.2";"";"42";"Wind blowing from the north";"3";"";"";"100%.";" ";"";"";"16.1";"21.1";"";"";"1000-1500";"";"";"16.0";"6.1";"";"";"";"";"";"";
"11.05.2019 13:00";"20.6";"761.1";"762.6";"";"45";"Wind blowing from the north-northwest";"2";"";"";"70 – 80%.";" ";"";"";"16.7";"21.1";"";"";"1000-1500";"";"";"16.0";"8.3";"";"";"";"";"";"";
"11.05.2019 07:00";"16.7";"761.4";"763.0";"";"67";"Wind blowing from the north-northwest";"5";"";"";"70 – 80%.";" ";"";"";"16.1";"27.8";"";"";"600-1000";"";"";"16.0";"10.6";"0.3";"6";"";"";"";"";
"11.05.2019 01:00";"19.4";"759.3";"760.9";"";"91";"Wind blowing from the south";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"14.4";"21.7";"";"";"1000-1500";"";"";"16.0";"17.8";"Trace of precipitation";"6";"";"";"";"";
"10.05.2019 19:00";"21.7";"759.3";"761.0";"";"84";"Wind blowing from the south-southwest";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"14.4";"27.8";"";"";"1000-1500";"";"";"16.0";"18.9";"0.3";"6";"";"";"";"";
"10.05.2019 13:00";"25.6";"759.8";"761.5";"";"54";"Wind blowing from the south-southwest";"8";"11";"";"70 – 80%.";" ";"";"";"15.6";"25.6";"";"";"600-1000";"";"";"16.0";"15.6";"Trace of precipitation";"6";"";"";"";"";
"10.05.2019 07:00";"18.3";"761.8";"763.3";"";"87";"Wind blowing from the south";"4";"";"";"70 – 80%.";" ";"";"";"14.4";"18.9";"";"";"600-1000";"";"";"16.0";"16.1";"";"";"";"";"";"";
"10.05.2019 01:00";"14.4";"763.9";"765.4";"";"93";"Wind blowing from the east-northeast";"2";"";"";"70 – 80%.";" ";"";"";"13.9";"16.1";"";"";"600-1000";"";"";"16.0";"13.3";"";"";"";"";"";"";
"09.05.2019 19:00";"16.1";"764.9";"766.5";"";"75";"Wind blowing from the east";"4";"";"";"70 – 80%.";" ";"";"";"13.9";"18.9";"";"";"1500-2000";"";"";"16.0";"11.7";"";"";"";"";"";"";
"09.05.2019 13:00";"15.6";"766.7";"768.3";"";"80";"Wind blowing from the east-northeast";"3";"";"";"100%.";" ";"";"";"13.9";"15.6";"";"";"200-300";"";"";"16.0";"12.2";"0.5";"6";"";"";"";"";
"09.05.2019 07:00";"13.9";"767.5";"769.0";"";"87";"Wind blowing from the east";"5";"";"";"100%.";" ";"";"";"13.9";"21.1";"";"";"200-300";"";"";"16.0";"11.7";"Trace of precipitation";"6";"";"";"";"";
"09.05.2019 01:00";"15.6";"766.7";"768.2";"";"80";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"14.4";"17.2";"";"";"1500-2000";"";"";"16.0";"12.2";"";"";"";"";"";"";
"08.05.2019 19:00";"17.2";"765.4";"766.9";"";"70";"Wind blowing from the south-east";"4";"";"";"70 – 80%.";" ";"";"";"16.1";"21.1";"";"";"1000-1500";"";"";"16.0";"11.7";"";"";"";"";"";"";
"08.05.2019 13:00";"19.4";"765.4";"767.0";"";"61";"Wind blowing from the east-northeast";"3";"";"";"70 – 80%.";" ";"";"";"14.4";"19.4";"";"";"600-1000";"";"";"16.0";"11.7";"Trace of precipitation";"6";"";"";"";"";
"08.05.2019 07:00";"16.1";"765.1";"766.6";"";"93";"Wind blowing from the north-east";"5";"";"";"100%.";"Mist. ";"";"";"16.1";"25.0";"";"";"200-300";"";"";"3.2";"15.0";"7.0";"6";"";"";"";"";
"08.05.2019 01:00";"16.7";"764.2";"765.7";"";"93";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"11.7";"22.2";"";"";"600-1000";"";"";"4.8";"15.6";"8.0";"6";"";"";"";"";
"07.05.2019 19:00";"22.2";"762.4";"764.0";"";"61";"Wind blowing from the south";"4";"";"";"70 – 80%.";" ";"";"";"11.7";"25.0";"";"";"600-1000";"";"";"16.0";"14.4";"";"";"";"";"";"";
"07.05.2019 13:00";"20.0";"764.6";"766.2";"";"70";"Wind blowing from the west-southwest";"3";"";"";"50%.";" ";"";"";"13.3";"20.0";"";"";"300-600";"";"";"16.0";"14.4";"";"";"";"";"";"";
"07.05.2019 07:00";"13.3";"764.9";"766.5";"";"84";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"11.7";"22.8";"";"";"300-600";"";"";"16.0";"10.6";"";"";"";"";"";"";
"07.05.2019 01:00";"11.7";"763.9";"765.6";"";"83";"Wind blowing from the east-southeast";"2";"";"";"100%.";" ";"";"";"11.7";"18.3";"";"";"300-600";"";"";"16.0";"8.9";"";"";"";"";"";"";
"06.05.2019 19:00";"18.3";"761.6";"763.1";"";"70";"Wind blowing from the south-southeast";"4";"";"";"50%.";" ";"";"";"12.2";"22.8";"";"";"1500-2000";"";"";"16.0";"12.8";"";"";"";"";"";"";
"06.05.2019 13:00";"22.2";"759.8";"761.4";"";"55";"";"2";"";"";"70 – 80%.";" ";"";"";"12.2";"22.8";"";"";"1000-1500";"";"";"16.0";"12.8";"";"";"";"";"";"";
"06.05.2019 07:00";"13.3";"759.6";"761.2";"";"84";"Wind blowing from the north";"5";"8";"";"70 – 80%.";" ";"";"";"11.7";"";"";"";"300-600";"";"";"16.0";"10.6";"";"";"";"";"";"";
"06.05.2019 01:00";"12.8";"756.8";"758.3";"";"87";"Wind blowing from the north-northeast";"6";"";"";"100%.";" ";"";"";"11.7";"16.7";"";"";"300-600";"";"";"16.0";"10.6";"4.0";"6";"";"";"";"";
"05.05.2019 19:00";"12.2";"754.8";"756.4";"";"93";"Wind blowing from the north-east";"8";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"12.2";"15.0";"";"";"300-600";"";"";"3.2";"11.1";"10.0";"6";"";"";"";"";
"05.05.2019 13:00";"13.9";"754.3";"755.9";"";"93";"Wind blowing from the north-east";"5";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"13.9";"16.7";"";"";"200-300";"";"";"6.0";"12.8";"9.0";"6";"";"";"";"";
"05.05.2019 07:00";"14.4";"755.0";"756.6";"";"93";"Wind blowing from the north-east";"6";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"14.4";"23.9";"";"";"100-200";"";"";"14.0";"13.3";"5.0";"6";"";"";"";"";
"05.05.2019 01:00";"16.7";"755.0";"756.7";"";"80";"Wind blowing from the east-northeast";"3";"";"";"100%.";" ";"";"";"13.9";"21.1";"";"";"600-1000";"";"";"16.0";"13.3";"";"";"";"";"";"";
"04.05.2019 19:00";"21.1";"754.8";"756.4";"";"71";"Wind blowing from the east-southeast";"2";"";"";"100%.";" ";"";"";"13.9";"23.9";"";"";"1000-1500";"";"";"16.0";"15.6";"";"";"";"";"";"";
"04.05.2019 13:00";"21.7";"756.3";"757.9";"";"66";"Wind blowing from the east";"4";"";"";"70 – 80%.";" ";"";"";"15.0";"21.7";"";"";"300-600";"";"";"14.0";"15.0";"Trace of precipitation";"6";"";"";"";"";
"04.05.2019 07:00";"15.0";"757.8";"759.3";"";"83";"Wind blowing from the east-northeast";"3";"";"";"100%.";" ";"";"";"13.9";"20.6";"";"";"200-300";"";"";"11.0";"12.2";"";"";"";"";"";"";
"04.05.2019 01:00";"15.0";"758.1";"759.6";"";"83";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"11.1";"17.8";"";"";"300-600";"";"";"16.0";"12.2";"Trace of precipitation";"6";"";"";"";"";
"03.05.2019 19:00";"17.8";"759.3";"760.8";"";"75";"Wind blowing from the north-east";"4";"";"";"100%.";" ";"";"";"11.1";"20.6";"";"";"1000-1500";"";"";"16.0";"13.3";"";"";"";"";"";"";
"03.05.2019 13:00";"15.6";"762.1";"763.6";"";"78";"Wind blowing from the east-northeast";"3";"";"";"100%.";" ";"";"";"11.1";"15.6";"";"";"300-600";"";"";"16.0";"11.7";"Trace of precipitation";"6";"";"";"";"";
